sample_id	cluster_id	size	mean	std
A25.mutect2.filtered.snp	0	240	0.6886276766713925	0.013320449064156158
A25.mutect2.filtered.snp	1	50	0.4262868601303859	0.023046739342327444
A25.mutect2.filtered.snp	2	34	0.9373723387939162	0.03706955396809115
A25.mutect2.filtered.snp	3	69	0.998245009549944	0.004424848059163399
A25.mutect2.filtered.snp	4	7	0.14693826876932234	0.026278250055692592
A25.mutect2.filtered.snp	5	1	0.7556272445849231	0.184112645981022
A25.mutect2.filtered.snp	6	1	0.6895156931202014	0.2143640217243237
A25.mutect2.filtered.snp	7	1	0.7225152185424218	0.20562355519814546
A25.mutect2.filtered.snp	8	1	0.31973652462240915	0.14515133481398407
A25.mutect2.filtered.snp	9	5	0.3492755398763887	0.04311867015092931
A25.mutect2.filtered.snp	10	1	0.32240081650540514	0.1317783435238024
A25.mutect2.filtered.snp	11	1	0.3568802025799013	0.14376104948340024
A25.mutect2.filtered.snp	12	1	0.3028615455961175	0.12477306552539179
A25.mutect2.filtered.snp	13	1	0.3028615455961175	0.12477306552539179
A25.mutect2.filtered.snp	14	1	0.3568802025799013	0.14376104948340024
A25.mutect2.filtered.snp	15	1	0.24982511752780878	0.11678310064173547
A25.mutect2.filtered.snp	16	1	0.35127335440690055	0.17817994849040003
A25.mutect2.filtered.snp	17	1	0.34736199513280996	0.15565670082789881
A25.mutect2.filtered.snp	18	1	0.33299609966475946	0.1502568764648471
A25.mutect2.filtered.snp	19	1	0.7556272445849231	0.184112645981022
A25.mutect2.filtered.snp	20	1	0.36295699740954057	0.16134160968138897
A25.mutect2.filtered.snp	21	1	0.7556272445849231	0.184112645981022
